Year,Quarter,Sector,ROE
2013,Q4,HELTH,17.67
2013,Q4,MEDIA,21.92
2013,Q4,PROF,5.99
2013,Q4,TOURISM,10.39
2013,Q4,TRANS,5.89
2013,Q4,ETRON,14.75
2013,Q4,ICT,41.36
2013,Q4,MAIIND,8.97
2013,Q4,MEDSIZE,8.97
2013,Q2,AGRO,
2013,Q2,CONSUMP,
2013,Q2,FINCIAL,
2013,Q2,INDUS,
2013,Q2,PROPCON,
2013,Q2,RESOURC,
2013,Q2,SERVICE,
2013,Q2,TECH,
2013,Q2,AGRI,9.13
2013,Q2,FOOD,9.64
2013,Q2,FASHION,4.68
2013,Q2,HOME,9.19
2013,Q2,PERSON,10.87
2013,Q2,BANK,15.99
2013,Q2,FIN,17.58
2013,Q2,INSUR,16.7
2013,Q2,AUTO,19.69
2013,Q2,IMM,8.12
2013,Q2,PAPER,11.02
2013,Q2,PETRO,15.07
2013,Q2,PKG,7.72
2013,Q2,STEEL,-18.63
2013,Q2,CONMAT,16.89
2013,Q2,PROP,17.23
2013,Q2,PF&REIT,
2013,Q2,CONS,
2013,Q2,ENERG,16.3
2013,Q2,MINE,-20.14
2013,Q2,COMM,23.37
2013,Q2,HELTH,20.59
2013,Q2,MEDIA,23.16
2013,Q2,PROF,4.13
2013,Q2,TOURISM,9.3
2013,Q2,TRANS,10.75
2013,Q2,ETRON,16.33
2013,Q2,ICT,35.38
2013,Q2,MAIIND,11.68
2013,Q2,MEDSIZE,11.68
2013,Q3,AGRO,
2013,Q3,CONSUMP,
2013,Q3,FINCIAL,
2013,Q3,INDUS,
2013,Q3,PROPCON,
2013,Q3,RESOURC,
2013,Q3,SERVICE,
2013,Q3,TECH,
2013,Q3,AGRI,8.88
2013,Q3,FOOD,9.33
2013,Q3,FASHION,3.44
2013,Q3,HOME,9.6
2013,Q3,PERSON,12.28
2013,Q3,BANK,15.94
2013,Q3,FIN,18.75
2013,Q3,INSUR,15.21
2013,Q3,AUTO,16.99
2013,Q3,IMM,5.59
2013,Q3,PAPER,11.24
2013,Q3,PETRO,13.52
2013,Q3,PKG,4.96
2013,Q3,STEEL,-16.45
2013,Q3,CONMAT,18.12
2013,Q3,PROP,16.43
2013,Q3,PF&REIT,
2013,Q3,CONS,
2013,Q3,ENERG,15.17
2013,Q3,MINE,-9.57
2013,Q3,COMM,22.4
2013,Q3,HELTH,17.82
2013,Q3,MEDIA,22.53
2013,Q3,PROF,6.61
2013,Q3,TOURISM,10.44
2013,Q3,TRANS,8.71
2013,Q3,ETRON,13.34
2013,Q3,ICT,38.71
2013,Q3,MAIIND,10.64
2013,Q3,MEDSIZE,10.64
2012,Q4,AGRO,
2012,Q4,CONSUMP,
2012,Q4,FINCIAL,
2012,Q4,INDUS,
2012,Q4,PROPCON,
2012,Q4,RESOURC,
2012,Q4,SERVICE,
2012,Q4,TECH,
2012,Q4,AGRI,7.63
2012,Q4,FOOD,20.23
2012,Q4,FASHION,4.76
2012,Q4,HOME,10.7
2012,Q4,PERSON,13.38
2012,Q4,BANK,15.36
2012,Q4,FIN,11.95
2012,Q4,INSUR,4.79
2012,Q4,AUTO,16.08
2012,Q4,IMM,13.34
2012,Q4,PAPER,8.65
2012,Q4,PETRO,14.54
2012,Q4,PKG,10.85
2012,Q4,STEEL,-22.79
2012,Q4,CONMAT,13.17
2012,Q4,PROP,14.86
2012,Q4,PF&REIT,
2012,Q4,CONS,
2012,Q4,ENERG,16.48
2012,Q4,MINE,-21.24
2012,Q4,COMM,22.93
2012,Q4,HELTH,23.26
2012,Q4,MEDIA,23.25
2012,Q4,PROF,-1.14
2012,Q4,TOURISM,3.88
2012,Q4,TRANS,10.59
2012,Q4,ETRON,14.67
2012,Q4,ICT,33.88
2012,Q4,MAIIND,14.05
2012,Q4,MEDSIZE,14.05
2013,Q1,AGRO,
2013,Q1,CONSUMP,
2013,Q1,FINCIAL,
2013,Q1,INDUS,
2013,Q1,PROPCON,
2013,Q1,RESOURC,
2013,Q1,SERVICE,
2013,Q1,TECH,
2013,Q1,AGRI,7.72
2013,Q1,FOOD,12.15
2013,Q1,FASHION,5.01
2013,Q1,HOME,10.28
2013,Q1,PERSON,12.24
2013,Q1,BANK,15.52
2013,Q1,FIN,15.85
2013,Q1,INSUR,10.49
2013,Q1,AUTO,17.7
2013,Q1,IMM,12.38
2013,Q1,PAPER,11.1
2013,Q1,PETRO,14.29
2013,Q1,PKG,9.42
2013,Q1,STEEL,-22.22
2013,Q1,CONMAT,14.65
2013,Q1,PROP,16.3
2013,Q1,PF&REIT,
2013,Q1,CONS,
2013,Q1,ENERG,15.55
2013,Q1,MINE,-20.31
2013,Q1,COMM,22.23
2013,Q1,HELTH,20.44
2013,Q1,MEDIA,23.8
2013,Q1,PROF,3.71
2013,Q1,TOURISM,7.69
2013,Q1,TRANS,11.91
2013,Q1,ETRON,15.14
2013,Q1,ICT,38.14
2013,Q1,MAIIND,14.2
2013,Q1,MEDSIZE,14.2
2014,Q2,AGRO,
2014,Q2,CONSUMP,
2014,Q2,FINCIAL,
2014,Q2,INDUS,
2014,Q2,PROPCON,
2014,Q2,RESOURC,
2014,Q2,SERVICE,
2014,Q2,TECH,
2014,Q2,AGRI,9.7
2014,Q2,FOOD,12.49
2014,Q2,FASHION,2.16
2014,Q2,HOME,8.11
2014,Q2,PERSON,13.21
2014,Q2,BANK,15.56
2014,Q2,FIN,12.99
2014,Q2,INSUR,14.93
2014,Q2,AUTO,13.09
2014,Q2,IMM,7.42
2014,Q2,PAPER,14.61
2014,Q2,PETRO,10.97
2014,Q2,PKG,3.84
2014,Q2,STEEL,-9.97
2014,Q2,CONMAT,16.79
2014,Q2,PROP,14.0
2014,Q2,PF&REIT,
2014,Q2,CONS,12.78
2014,Q2,ENERG,13.53
2014,Q2,MINE,-4.13
2014,Q2,COMM,19.77
2014,Q2,HELTH,17.87
2014,Q2,MEDIA,14.29
2014,Q2,PROF,7.25
2014,Q2,TOURISM,5.88
2014,Q2,TRANS,-1.91
2014,Q2,ETRON,16.95
2014,Q2,ICT,39.12
2014,Q2,MAIIND,5.66
2014,Q2,MEDSIZE,5.66
2014,Q1,AGRO,
2014,Q1,CONSUMP,
2014,Q1,FINCIAL,
2014,Q1,INDUS,
2014,Q1,PROPCON,
2014,Q1,RESOURC,
2014,Q1,SERVICE,
2014,Q1,TECH,
2014,Q1,AGRI,8.67
2014,Q1,FOOD,10.69
2014,Q1,FASHION,2.78
2014,Q1,HOME,6.37
2014,Q1,PERSON,13.05
2014,Q1,BANK,15.51
