Month,Sector,PE,ROE
2010-12,CONMAT,14.96,19.32
2010-12,CONS,,
2010-12,CONSUMP,,
2010-12,ENERG,13.67,18.28
2010-12,ETRON,8.98,17.65
2010-12,FASHION,10.08,9.32
2010-12,FIN,11.76,10.97
2010-12,FINCIAL,,
2010-12,FOOD,15.47,17.78
2010-12,HELTH,18.53,16.86
2010-12,HOME,10.73,11.23
2010-12,ICT,15.24,15.24
2010-12,IMM,,-9.45
2010-12,INDUS,,
2010-12,INSUR,15.48,16.31
2010-12,MAIIND,,12.65
2010-12,MEDIA,16.39,21.27
2010-12,MEDSIZE,18.39,12.65
2010-12,MINE,10.98,-8.85
2010-12,PAPER,17.34,5.7
2010-12,PERSON,10.04,14.36
2010-12,PETRO,23.88,16.22
2010-12,PF&REIT,,
2010-12,PKG,16.67,26.87
2010-12,PROF,,-11.28
2010-12,PROP,14.01,12.55
2010-12,PROPCON,,
2010-12,RESOURC,,
2010-12,SERVICE,,
2010-12,STEEL,,
2010-12,TECH,,
2010-12,TOURISM,,2.96
2010-12,TRANS,11.73,8.39
2011-01,AGRI,10.91,19.66
2011-01,AGRO,,
2011-01,AUTO,20.18,7.71
2011-01,BANK,13.93,13.91
2011-01,COMM,21.09,18.03
2011-01,CONMAT,13.41,23.1
2011-01,CONS,,
2011-01,CONSUMP,,
2011-01,ENERG,13.32,20.23
2011-01,ETRON,8.36,16.25
2011-01,FASHION,9.91,9.13
2011-01,FIN,13.39,13.32
2011-01,FINCIAL,,
2011-01,FOOD,14.23,17.78
2011-01,HELTH,19.27,17.01
2011-01,HOME,10.37,11.36
2011-01,ICT,14.45,15.63
2011-01,IMM,11.85,18.34
2011-01,INDUS,,
2011-01,INSUR,14.96,16.61
2011-01,MAIIND,,13.64
2011-01,MEDIA,16.16,22.56
2011-01,MEDSIZE,17.95,13.64
2011-01,MINE,10.61,-8.57
2011-01,PAPER,15.82,5.21
2011-01,PERSON,10.39,14.69
2011-01,PETRO,19.3,20.73
2011-01,PF&REIT,,
2011-01,PKG,15.1,31.43
2011-01,PROF,,-10.24
2011-01,PROP,12.99,10.22
2011-01,PROPCON,,
2011-01,RESOURC,,
2011-01,SERVICE,,
2011-01,STEEL,,-4.6
2011-01,TECH,,
2011-01,TOURISM,,3.56
2011-01,TRANS,10.0,3.62
2011-02,AGRI,10.12,19.66
2011-02,AGRO,,
2011-02,AUTO,16.15,7.71
2011-02,BANK,14.33,13.91
2011-02,COMM,20.63,18.03
2011-02,CONMAT,10.19,23.1
2011-02,CONS,,
2011-02,CONSUMP,,
2011-02,ENERG,13.16,20.23
2011-02,ETRON,8.17,16.25
2011-02,FASHION,10.27,9.13
